Town,Merged
Windsor,Windsor
Wethersfield,Wethersfield
Hartford,Hartford
Farmington,Farmington
Simsbury,Simsbury
Glastonbury,Glastonbury
Suffield,Suffield
Enfield,Enfield
Hartland,Hartland
East Windsor,East Windsor
Southington,Southington
East Hartford,East Hartford
Berlin,Berlin
Bristol,Bristol
Granby,Granby
Marlborough,Marlborough
Burlington,Burlington
Canton,Canton
Manchester,Manchester
Avon,Avon
Bloomfield,Bloomfield
Rocky Hill,Rocky Hill
South Windsor,South Windsor
New Britain,New Britain
West Hartford,West Hartford
Windsor Locks,Windsor Locks
East Granby,East Granby
Plainville,Plainville
Newington,Wethersfield
